ID;MATERIAL;DESCRIÇÃO;LOCAL
938;KIT-FW401B;PLACA FW401 (KIT PARA MONTAGEM SMD);CE-03
939;KIT-FW500;PLACA FW500 (KIT PARA MONTAGEM SMD);CF-03
940;KIT-TRD-ESP;PLACA TRD-ESP (KIT PARA MONTAGEM SMD);CE-03
941;KNOBYL-100;KNOBYL-100;G.14
942;KNOBYL-100 INVERTIDO;KNOBYL-100 INVERTIDO;G.14
943;MBA001;MEMBRANA REF: MRI 023 TRD 2000;OBSOL - A6
944;MBA004;MEMBRANA EXPORTACAO COSTA CONVERSOR;OBSOL - A6
945;MBA005;MEMBRANA PFW200 PAINEL 5 JANELAS;OBSOL - A5
946;MBA006;MEMBRANA ADEZIVA P MALETA REF: MP80;OBSOL - A6
947;MBA010;MEMBRANA REF: MRI 005 TRD MILLENNIUM;OBSOL - A6
948;MBA011;MEMBRANA REF: MRI 006 N. DE SERIE TRD;BG-03
949;MBA012;MEMBRANA REF: MRI 007 SELO DE GARANTIA;EXPEDIÇÃO
950;MBA014;MEMBRANA REF: MRI 009 FRENTE CONVERSOR;OBSOL - A6
951;MBA017;MEMBRANA REF: MRI 017 TRD216;OBSOL - A6
952;MBA018;MEMBRANA REF: MRI 026 CLFW2CV.1;OBSOL - A5
953;MBA019;MEMBRANA REF: MRI 027 CLFIW2CV;OBSOL - A5
954;MBA020;MEMBRANA REF: MRI 028 CLFW0,75CV;OBSOL - A5
955;MBA021;MEMBRANA REF: MRI 036 ETIQUETA CONCENTRADOR RS485;OBSOL - A6
956;MBA022;MEMBRANA REF: MRI 037 ETIQUETA VINIL ADP-COD;OBSOL - A6
957;MBA023;MEMBRANA REF: MRI 038 ETIQUETA VINIL WF100;OBSOL - A5
958;MBA024;ETIQUETA REF: MRI 039 ETIQUETA COMP WF100;OBSOL - A6
959;MBA027;MEMBRANA 6 TECLAS PAINEL PFW207;OBSOL - A5
960;MBA028;MEMBRANA REF: MRI ETIQUETA VINIL CODE X;OBSOL - A6
961;MBA029;MEMBRANA REF: MRI 020 COSTA CONVERSOR KORTH;OBSOL - A6
962;MBA030;MEMBRANA REF: MRI 021 FRENTE CONVERSOR KORTH;OBSOL - A6
963;MBA031;MEMBRANA PFW207 PAINEL 4 JANELAS;OBSOL - A5
964;MBA036;MEMBRANA REF: MRI 045 WF110;OBSOL - A6
965;MBA039;MEMBRANA REF: MRI 050 ETIQUETA VINIL WF110 RS;OBSOL - A6
966;MBA044;MEMBRANA FRONTAL FW206 POLICARBONATO EQUIBOARD;BG-03
967;MBA045;ETIQUETA ADESIVA REF. MRI 054 ADP485;OBSOL - A6
968;MBA046;MEMBRANA REF: MRI 053 TECLADO ZACCARIA;OBSOL - A6
969;MBA047;ETIQUETA ADESIVA REF. MRI 055 IDENT. TERMINAIS;OBSOL - A5
970;MBA049;ETIQUETA VINIL ADESIV. CIRC. PRETO REF.MRI 060;OBSOL - A5
971;MBA060;BORRACHA POLIETILENO ADESIVADA 6X26 MM;DA-02
972;MBA061;BORRACHA POLIETILENO ADESIVADA 3X30 MM;DA-02
973;MBA064;MICA ISOLANTE TO220;CD-01
974;MBA065;ETIQUETA HENRIMAR COND GARANT/INFORM AD DESTRUTIVEL REF. MRI 065;OBSOL - A5
975;MBA066;TECLADO MEMBRANA FITNESSWARE 8 TECLAS PFW200 REV1;OBSOL - A5
976;MBA074;TECLADO MEMBRANA FWCO360 REV1;BG-03
977;MBA083;ETIQUETA FONTE FW153 AC 127V 220V;OBSOL - A5
978;MBA085;MEMBRANA FRONTAL CONVERSOR USB/RS485;OBSOL - A6
979;MBA091;TECLADO MEMBRANA VITALLY 14 TECLAS;OBSOL - A5
980;MBA092;ETIQUETA FONTE FW153 AC 127V 220V 12V 1A CX PB-107 REV1;BG-03
981;MBA094;MEMBRANA REF: MRI 074 ETIQUETA VINIL WF200;OBSOL - A6
982;MBA097;MEMBRANA FRONTAL CONSOLE FW200;BG-03
983;MBA098;TECLADO MEMBRANA CONSOLE FW200 12 TECLAS;BG-03
984;MBA100;ETIQUETA FONTE FW153 AC 127V 220V 5V 1A;OBSOL - A5
985;MBA101;TECLADO MEMBRANA TRD-T32EX;OBSOL - A5
986;MBA103;MEMBRANA FRONTAL LM201 REV1;OBSOL - A5
987;MBA104;MEMBRANA FRONTAL LM202-NC REV1;OBSOL - A5
988;MBA105;MEMBRANA FRONTAL LM202-PC REV1;OBSOL - A5
989;MBA106;MEMBRANA FRONTAL LM100 REV1;OBSOL - A5
990;MBA108;MEMBRANA FRONTAL CONSOLE FW217;BG-03
991;MBA110;MEMBRANA FRONTAL AVD-1000 REV1;BG-03
992;MBA113;MEMBRANA FRONTAL CONSOLE FW200 GENERICO REV2;BG-03
993;MBA115;MEMBRANA 8 TECLAS CONSOLE FW217 GENERICO REV2;BG-03
994;MBA116;MEMBRANA KNOB - CONTROLADOR TENSAO/ESFORCO;BG-03
995;MBA117;MEMBRANA FRONTAL CONSOLE FW217 GENERICO REV1;BG-03
996;MBA121;MEMBRANA FRONTAL CONSOLE FW223 GENERICO REV1;BG-03
997;MBA122;MEMBRANA FRONTAL CONSOLE FW223 LIFE FITNESS REV1;I.25 - VENDAS
998;MBA123;MEMBRANA FRONTAL CONSOLE FW223 SMART FIT REV1;I.25 - VENDAS
999;MBA124;MEMBRANA FRONTAL CONSOLE FW223 BLUE FIT REV1;I.25 - VENDAS
1000;MBA125;MEMBRANA FRONTAL DISPOSITIVO DE CONTROLE ENCODER INCREMENTAL DIGITAL REABILITACAO;BG-03
1001;MBA126;MEMBRANA FRONTAL PAINEL TECLADO FW222 INCLINACAO GENERICO REV 7;OBSOL - A5
1002;MBA127;MEMBRANA FRONTAL PAINEL TECLADO FW222 GENERICO (COMPRAR REV 8);OBSOL - A5
1003;MBA128;MEMBRANA PAINEL E TECLADO FW203 FW156 7 JANELAS 320 x 234 - INCLINACAO;BG-03
1004;MBA129;MEMBRANA PAINEL E TECLADO FW203 FW156 6 JANELAS 320 x 234;BG-03 / OBSOL - A5
1005;MBA131;ETIQUETA INTERFACE FW175 RECEPTOR;BG-03
1006;MBA133;MEMBRANA PAINEL E TECLADO FW203 FW156 6 JANELAS 299 x 213;BG-03
1007;MBA135;MEMBRANA CHAPA TRASEIRA TRD T32EWC REV1;BG-03
1008;MBA136;TECLADO MEMBRANA TRD-T32EWC;BG-03
1009;MBA137;MEMBRANA PAINEL FW306 106X55 ESTEIRA KIDS;BG-03
1010;MCM001;MODULO RECEPTOR ASK 433 MHZ RXD1;CC-02
1011;MCM003;CONTROLE REMOTO PA GENNO SAW 433 MHZ - PRETO;I.25 - VENDAS
1012;MCM004;CONTROLE REMOTO PA GENNO TX TECH 433MHZ - PRETO;I.25 - VENDAS
1013;MCM005;MODULO SENSOR HAND GRIP SH601-MO-T (VISTA);BG-02
1014;MCM006;MODULO ANTENA POLAR 5 KHZ;I.05 - VENDAS
1015;MCM012;CONTROLE REMOTO INFRAVERMELHO 5 TECLAS;I.15 - VENDAS
1016;MCM015;MODULO HIBRIDO HAND GRIP E POLAR (VISTA);CC-02
1017;MCM020;MODULO PLACA DOIT ESP32 ESP-WROOM-32 WIFI BLUETOOTH;CC-02
1018;MCM021;MODULO REAL TIME CLOCK - RTC - DS1307;CC-02
1019;MCM022;SENSOR TILT / SENSOR DE INCLINACAO SW-520D;G.14
1020;MCM024;MODULO PLACA RU101 COM LEDs MONTADOS;G.04
1021;MCM025;POTENCIOMETRO ENCODER ROTATIVO SEM FIM COM 3 TERMINAIS;DF-02 / OBSOL - A03
1022;MCM027;MODULO PLACA ESP32-S2-SAOLA-1R;CC-02
1023;MCM029;MODULO BWT61P - BLE;CC-02
1024;MCM032;MODULO ETHERNET - W5500;DF-02
1025;MCM033;CONTROLE REMOTO CODE LEARN 433,92 MHZ 4 CANAIS 7X4,5X1,5;G.14
1026;MCM037;SENSOR CONTROLADOR DE CARGA BATERIA ION LITHIUM 3,7V 3A 2 CELULAS - FDC-2S-2;CC-02
1027;MCM038;MODULO CARREGADOR DE CELULAR SEM FIO POR INDUCAO 5V BOBINA SIMPLES QUADRADA;DB-03
1028;MCM039;MODULO CARREGADOR DE CELULAR SEM FIO POR INDUCAO 12V BOBINA DUPLA QUADRADA;DB-03
1029;MCM040;MODULO PLACA ESP32S2DEVKITM1N4R;DB-03
1030;MCM041;MODULO PLACA ESP32S2DEVKITM1UN4R2;DB-03
1031;MCV003;MICROMOTOR VIBRATORIO DC 4,8X16 MM (VIBRACALL);G.14
1032;MEC014;DISSIPADOR ALUMINIO DM812K;CC-02
1033;MEC015;DISSIPADOR EM L;CC-02
1034;MEC016;DISSIPADOR;CC-02
1035;MEC045;CALCO PLASTICO PARA DISPLAY (55X10X2MM);LINHA
1036;MEC046;CHASSI PARA CABO ENERGIA, CHAVE E FUSIVEL;AA-03
1037;MEC048;CHP004 CHAPA CONSOLE FW360;AB-02
1038;MEC049;ANEL ORING 2048;OBSOL - A3
1039;MEC056;CHP003 CHAPA FW200 5 RASGOS ROTOMOLDADO REV2;AB-02
1040;MEC065;CHAPA ACO PARA PLACA FW161;AB-02
1041;MEC068;CHP015 CHAPA FW200 5 RASGOS X3;AB-02
1042;MEC069;BUCHA DA ALETA 8921;OBSOL - A3
1043;MEC070;PINO FIXACAO PAINEL 9455;OBSOL - A3
1044;MEC071;IMA REDONDO 22X10 MM;G.25
1045;MEC072;CHP016 CHAPA FW217 3 RASGOS ROTOMOLDADO;AC-02
1046;MEC073;CHP017 CHAPA FW203 7 RASGOS ROTOMOLDADO;AC-02
1047;MEC075;IMA 22X17X10 MM;G.25
1048;MEC077;CHP020 CHAPA DISPLAY TOUCH 9,7POL REV2;AE-02
1049;MEC078;CHP019 CHAPA PAINEL DISPLAY TOUCH 9,7POL;AD-02
1050;MEC079;CALCO NYLON 17mm Diametro x 22mm Comprimento;CC-02
1051;MEC080;IMA REDONDO 17X8 MM COM SUPORTE;G.25
1052;MEC085;CHP024 CHAPA FW203 E FW156 7 RASGOS 320 x 233 x 3 REV6;AC-02
1053;MEC086;TUCHO NYLON 8 X 10,5mm (D X C);CC-02
1054;MEC087;CHP025 CHAPA FW140 E FW153190 x 130 x 3 REV2;AC-02
1055;MEC088;CHP026 CHAPA FW203 E FW156 7 RASGOS 299 x 213 x 3 REV2;AD-02
1056;MEC091;CHP028 CHAPA PAINEL FW222 7 RASGOS 355 X 248,5 X 3 REV3;AD-02
1057;MEC096;CHP032 CHAPA TECLADO FW159 14 TECLAS BOTÃO EMERGENCIA 405X140X3;AE-02
1058;MEC098;CHP034 CHAPA PAINEL FW203 7 RASGOS E TECLADO FW178 - BOTAO DE EMERGENCIA 684X186X3 REV6;AC-02
1059;MEC099;TUCHO NYLON 6 X 19mm (D X C);CC-02
1060;MEC101;CHP036 CHAPA PAINEL FW200 5 RASGOS - 420X160X3 ASTRO FITNESS REV3;AE-02
1061;MEC102;TUCHO PLASTICO 8 X 30mm (D X C);CC-02
1062;MEC107;CHP041 CHAPA TECLADO FW159 14 TECLAS ASTRO FITNESS;AE-02
1063;MPA001;ALCOOL ISOPROPILICO;DF-03
1064;MPA003;SOLDA 63X37 CS VERGAS 18X8X400 MM;DD-03
1065;MPA004;SOLDA 63X37 FIO 0,8MM RESINOSO;DD-03
1066;MPA005;CLEANER SOFT;DF-03
1067;MPA007;SOLDA 63X37 FIO 0,5MM RESINOSO;DD-03
1068;MPA024;PONTA CONICA DE ESTAÇÃO DE SOLDA 0,4MM;DE-03
1069;MPA025;PONTA CONICA DE ESTAÇÃO DE SOLDA 1,0 MM;DE-03
1070;MPA028;FITA CREPE;DD-03
1071;MPA031;ARAME EXTRUSADO;DD-03
1072;MPA032;MALHA DESSOLDADORA;DE-03
1073;PARAFUSO 3,5X19 MM;PARAFUSO AA PA PH 3,5X19 MM;OBSOL - TETO
1074;PCI 399;PCI PLACA FW183;AF-03
1075;PCI005;PCI PLACA CPUGPGTA;AG-03
1076;PCI007;PCI PLACA FW114B;AG-03
1077;PCI008;PCI PLACA FW123A;AG-03
1078;PCI010;PCI PLACA FW210;AG-03
1079;PCI011;PCI PLACA CPUEST1D;AG-03
1080;PCI021;PCI PLACA ALD08;AG-03
1081;PCI022;PCI PLACA APDGP32C8 A;AG-03
1082;PCI028;PCI PLACA COZA1B;AG-03
1083;PCI033;PCI PLACA F5V12V;AG-03
1084;PCI038;PCI PLACA FW110C;AG-03
1085;PCI045;PCI PLACA FW129;AG-03
1086;PCI046;PCI PLACA FW130;AG-03
1087;PCI048;PCI PLACA FW133A;AG-03
1088;PCI054;PCI PLACA FW208;AG-03
1089;PCI067;PCI PLACA MP80A;AG-03
1090;PCI074;PCI PLACA RS485A;AC-04
1091;PCI075;PCI PLACA RT100A;AG-03
1092;PCI076;PCI PLACA RT200A;AG-03
1093;PCI079;PCI PLACA FW213;AG-03
1094;PCI080;PCI PLACA BMT 100C1;AG-03
1095;PCI081;PCI PLACA BMT 100E R1;AG-03
1096;PCI082;PCI PLACA BMT 100R;AG-03
1097;PCI083;PCI PLACA BMT 100T;AG-03
1098;PCI084;PCI PLACA BMT 100F;AG-03
1099;PCI088;PCI PLACA FW212;AG-03
1100;PCI102;PCI PLACA FW211A;AG-03
1101;PCI120;PCI PLACA FW138;AG-03
1102;PCI146;PCI PLACA BMT 100C2;AG-03
1103;PCI148;PCI PLACA CFB01D;AG-03
1104;PCI149;PCI PLACA FW116D;AG-03
1105;PCI153;PCI PLACA EL1007;AG-03
1106;PCI154;PCI PLACA EL1011;AG-03
1107;PCI155;PCI PLACA EL1013;AG-03
1108;PCI164;PCI PLACA RP200A;AG-03
1109;PCI167;PCI PLACA FW146;AG-03
1110;PCI174;PCI PLACA FW147 CONEXAO USB TABLET;AG-03
1111;PCI175;PCI PLACA CFB05;AG-03
1112;PCI178;PCI PLACA CFB04D;AC-04
1113;PCI179;PCI PLACA RP201 (FIBRA DUPLA FACE 85);AG-03
1114;PCI180;PCI PLACA RP201A (FIBRA DUPLA FACE 87);AG-03
1115;PCI182;PCI PLACA RP202 (FIBRA DUPLA FACE 87);AG-03
1116;PCI186;PCI PLACA FW145A;AD-03
1117;PCI197;PCI PLACA RP204A;AG-03
1118;PCI198;PCI PLACA FW149;AC-03
1119;PCI201;PCI PLACA MBZ-PT;AG-03
1120;PCI204;PCI PLACA RP206;AG-03
1121;PCI206;PCI PLACA FW150;AG-03
1122;PCI207;PCI PLACA FW151;AG-03
1123;PCI208;PCI PLACA FW152A;AG-03
1124;PCI209;PCI PLACA LPFCO01;AC-04
1125;PCI211;PCI PLACA DSCON01;AC-04
1126;PCI213;PCI PLACA RP207A;AB-03 / AG-03
1127;PCI214;PCI PLACA RP208;AG-03
1128;PCI215;PCI PLACA FW216;AG-03
1129;PCI217;PCI PLACA 8LEDA;AD-04
1130;PCI220;PCI PLACA FW217A;AG-03
1131;PCI224;PCI PLACA TRD2F;OBSOL - A1
1132;PCI227;PCI PLACA CEC100A (COMPRAR VERSAO B);AG-03
1133;PCI228;PCI PLACA FW218C;AE-04
1134;PCI229;PCI PLACA FW155;AC-03
1135;PCI233;PCI PLACA WF100C;AC-04 / OBSOL A1
1136;PCI234;PCI PLACA RP112;AG-03
1137;PCI235;PCI PLACA RP113;AG-03
1138;PCI240;PCI PLACA FW158;AG-03
1139;PCI241;PCI PLACA GOZ01;AG-03
1140;PCI242;PCI PLACA FW156E;AE-03
1141;PCI243;PCI PLACA RP114;AG-03
1142;PCI244;PCI PLACA RP115;AG-03
1143;PCI245;PCI PLACA FW135B;AF-04
1144;PCI250;PCI PLACA ADPWF100;AC-04 / OBSOL A1
1145;PCI251;PCI PLACA FW159;AD-03
1146;PCI253;PCI PLACA ADP-ATRD;AC-03 / OBSOL A1
1147;PCI257;PCI PLACA LPCPU02;AG-03
1148;PCI258;PCI PLACA LPTEC01;AG-03
1149;PCI260;PCI PLACA ADPFW217A;AG-03
1150;PCI262;PCI PLACA FW163;AE-03
1151;PCI264;PCI PLACA FW165;AE-03
1152;PCI266;PCI PLACA FW161;AC-03
1153;PCI267;PCI PLACA LPCPU03;AG-03
1154;PCI271;PCI PLACA FW162A;AD-04
1155;PCI274;PCI PLACA FW166-E;AE-03
1156;PCI277;PCI PLACA FW168;AE-03
1157;PCI278;PCI PLACA TRD-K64E;OBSOL - A1
1158;PCI279;PCI PLACA FW122F;AF-04
1159;PCI280;PCI PLACA FW157B;AC-03
1160;PCI283;PCI PLACA FW221;AD-04
1161;PCI285;PCI PLACA FW171;AC-03
1162;PCI288;PCI PLACA FW172A;AF-03
1163;PCI294;PCI PLACA FW500E;AC-03
1164;PCI296;PCI PLACA AVD100C;AC-04
1165;PCI297;PCI PLACA IUSB-TRD;OBSOL - A1
1166;PCI298;PCI PLACA RU100;G.04
1167;PCI299;PCI PLACA CAU102;AC-04
1168;PCI300;PCI PLACA LPCPU03B (COMPRAR VERSAO C);AG-03
1169;PCI301;PCI PLACA FW166-D;AE-03
1170;PCI303;PCI PLACA IUSBP-TRD;OBSOL - A1
1171;PCI305;PCI PLACA FW117;AG-03
1172;PCI306;PCI PLACA FW223 (COMPRAR VERSAO A);AD-04
1173;PCI310;PCI PLACA FW217E;AB-04
1174;PCI311;PCI PLACA FW224A;AF-04
1175;PCI312;PCI PLACA FW225A;AC-03
1176;PCI313;PCI PLACA FW173-D;AC-03
1177;PCI314;PCI PLACA FW173-E;AC-03
1178;PCI315;PCI PLACA CAU103A (COMPRAR VERSAO B);AC-04
1179;PCI316;PCI PLACA CAU104C;AC-04
1180;PCI317;PCI PLACA FW305B;AC-04
1181;PCI323;PCI PLACA CAU105;AC-04
1182;PCI324;PCI PLACA FW203H;AG-04
1183;PCI327;PCI PLACA FW219D;AF-04
1184;PCI328;PCI PLACA CAU100;AC-04
1185;PCI329;PCI PLACA FW134;AE-04
1186;PCI332;PCI PLACA FW175 (COMPRAR VERSAO A);AC-03
1187;PCI333;PCI PLACA FW174;AC-03
1188;PCI337;PCI PLACA FW306 (COMPRAR VERSAO A);AD-04
1189;PCI338;PCI PLACA IESP-TRD;AB-04
1190;PCI341;PCI PLACA FW140E;AF-03
1191;PCI342;PCI PLACA CAU101;AC-04
1192;PCI346;PCI PLACA CAU106;AC-04
1193;PCI347;PCI PLACA ETHERNET W5500;AD-04
1194;PCI349;PCI PLACA CAU107;AC-04
1195;PCI352;PCI PLACA FW177B;AC-03
1196;PCI353;PCI PLACA FW179;AC-03
1197;PCI354;PCI PLACA FW178;AE-03
1198;PCI361;PCI PLACA THD100 TERMO HIGROMETRO DIGITAL;AB-03
1199;PCI362;PCI PLACA FW222F (COMPRAR VERSAO G);AG-04
1200;PCI368;PCI PLACA FW153H (COMPRAR VERSAO I);AE-04
1201;PCI370;PCI PLACA FW217F;AB-04
1202;PCI371;PCI PLACA FW226B;AF-04
1203;PCI373;PCI PLACA FW226C;AF-04
1204;PCI374;PCI PLACA FW153I;AE-04
1205;PCI376;PCI PLACA FW200M;AE-04
1206;PCI379;PCI PLACA FW215H;AG-04
1207;PCI387;PCI PLACA TRD-ESPD;AB-04
1208;PCI395;PCI PLACA FW182;AD-03
1209;PCI399;PCI PLACA FW183;AF-03
1210;PCI400;PCI PLACA FW184;AF-03
1211;PCI401;PCI PLACA FW185;AF-03
1212;PEF011;PORCA SEXTAVADA 2,5 MM (M2,5 MA 0,45 CH5 ZB);BD-02
1213;PEF012;PARAFUSO MQ CH PH 3X12 MM;BD-02
1214;PEF013;PORCA SEXTAVADA MA 3MM-ZB (M3 MA0 5FCH5 5 ZB);BD-02
1215;PEF015;PARAFUSO MQ CH PH 3X20 MM;BD-02
1216;PEF017;ABRACADEIRA T18;CB-01
1217;PEF019;PARAFUSO AA PA PH 2,9X13 MM;BD-02
1218;PEF021;PARAFUSO AA CH PH 2,9X16 MM;BD-02
1219;PEF022;PARAFUSO MQ CH PH 2,5X16 MM;BD-02
1220;PEF023;PARAFUSO MQ CH PH 3X8 MM RM;BD-02
1221;PEF025;PARAFUSO AA CH PH 2,9X19 MM;OBSOL - A5
1222;PEF026;PARAFUSO AA PA PH 2,9X6,5 MM;BD-02
1223;PEF029;PARAFUSO MQ CH PH 3X6 MM RM;BD-02
1224;PEF032;PARAFUSO MQ CL PH 2X12 MM;OBSOL - A5
1225;PEF033;PARAFUSO MQ CL PH 4X30 MM;OBSOL - A5
1226;PEF036;PORCA (4 MM) ST M$ MA 0,70F CH7 ZC;OBSOL - A5
1227;PEF038;PARAFUSO MQ CH PH 3X8 MM INOX (MBZ-1);OBSOL - A5
1228;PEF039;PARAFUSO MQ PA PH 4X12 MM INOX (MBZ-1);OBSOL - A5
1229;PEF040;PARAFUSO MQ PA PH 3X20 MM INOX (MBZ-1);OBSOL - A5
1230;PEF041;PARAFUSO MQ PA PH 3X12 MM INOX (MBZ-1);OBSOL - A5
1231;PEF042;PARAFUSO MQ CH PH 3X16 MM INOX (MBZ-1);OBSOL - A5
1232;PEF043;PARAFUSO MQ CH PH 3X12 MM INOX (MBZ-1);OBSOL - A5
1233;PEF045;ARRUELA LISA M4 9X0,8MM ZINCADO BRANCO;BD-02
1234;PEF046;ARRUELA LISA INOX M3;BD-02
1235;PEF048;PARAFUSO AA PA PH 2,2X6,5 MM;BD-02
1236;PEF051;PORCA INOX MA04;OBSOL - A5
1237;PEF052;PARAFUSO MQ CH PH 2,5X12 MM;BD-02
1238;PEF054;PARAFUSO AA PA PH 2,9X9,5 MM;BD-02
1239;PEF055;CORTE VARETA INOX DIAM. 1/8 X 36,5;OBSOL - A5
1240;PEF056;CORTE VARETA INOX DIAM. 3/32 X 6,5;OBSOL - A5
1241;PEF057;PARAFUSO TELLEP (ALLEN) CAB. CILINDRICA 4X20 MM;OBSOL - A5
1242;PEF060;PARAFUSO MQ CL PH 2X8 MM;OBSOL - A5
1243;PEF070;ARRUELA LISA M3 ZINCADO BRANCO;BD-02
1244;PEF080;PARAFUSO MQ CH PH 3X10 MM ZINCADO PRETO (MBZ-1);BD-02
1245;PEF081;ARRUELA PRESSAO DIN 127 M3 ZNB;OBSOL - A5
1246;PEF082;PARAFUSO MQ CH PH 2,5X8 MM;BD-02
1247;PEF084;PARAFUSO AA PA PH 3,5X9 MM;BD-02
1248;PEF086;"MANGUEIRA CRISTAL DIAMETRO INTERNO 1/8"" X 2 MM DE PAREDE";DB-02
1249;PEF088;COLA QUENTE (BASTAO REFIL);DD-03
1250;PEF089;SUPORTE PARA LED 5MM SP-5.8 PATOLA;OBSOL - A4
1251;PEF090;SUPORTE PARA LED 5MM PRETO;OBSOL - A4
1252;PEF091;PARAFUSO PLASTICO PA PH 3X8 MM;BD-02
1253;PEF092;PARAFUSO MQ PA PH 3X25 MM;OBSOL - A5
1254;PEF093;PARAFUSO MQ CL PH 2,5X20 MM;OBSOL - A5
1255;PEF096;PORCA INOX MA03 PARLOCK (MBZ 2);OBSOL - A5
1256;PEF097;PARAFUSO AA PA PH 2,5X12MM PARA PLASTICO;BD-02
1257;PEF098;PARAFUSO MQ CH PH 3X16 MM;BD-02
1258;PEF101;PARAFUSO MQ CH PH 3,5X76 MM;BD-02
1259;PEF102;PARAFUSO MQ PA PH 5X8 MM;OBSOL - A5
1260;PEF105;PARAFUSO MQ CH PH 2,5X20 MM;BD-02
1261;PEF106;PARAFUSO AUTO ATARRAXANTE CABECA CHATA PHILIPS AA ZINCADO PRETO 3.5X13;BD-02
1262;PEF107;PARAFUSO AA CH PH 3,5X14 MM CHIP;BD-02
1263;PEF109;PARAFUSO AA PA FS 4,2x32 MM;OBSOL - A2
1264;PEF110;BUCHA PLASTICA (6MM) PARA PAREDE;OBSOL - A2
1265;PEF111;PARAFUSO PLASTICO PA PH 3X6 MM;BD-02
1266;PEF112;PARAFUSO AA CH PH 2,9X9,5MM;BD-02
1267;PEF113;PARAFUSO PARA PLASTICO PA PH 4X12 MM;BD-02
1268;PEF114;PARAFUSO MQ CH PH 4X6 MM;BD-02
1269;PEF115;ESPACADOR DE CIRCUITO IMPRESSO SERIE ECI9.4 MM (FURO 4MM;CB-01
1270;PEF116;ABRAÇADEIRA PCLIPS;CB-01
1271;PEF119;PARAFUSO MQ CH PH M4X16 MM;BD-02
1272;PEF121;ABRACADEIRA NYLON REUTILIZAVEL PRETA 150X3,6MM;CB-01
1273;PIB003;SUPORTE DE DUAS PILHAS;AB-01
1274;PIB011;SUPORTE 2 PILHAS 18650 3.7V PRETO COM RABICHO;CC-02
1275;POT001;POTENCIOMETRO LINEAR 10K 16MM EIXO ESTRIADO 20MM;DF-02 / OBSOL - A03
1276;POT002;POTENCIOMETRO FIO 4W 5K;OBSOL - A3
1277;POT005;POTENCIOMETRO LINEAR 470K 16MM SERIE CRC16;OBSOL - A3
1278;POT006;TRIMPOT 200K REF. 3386F;OBSOL - A5
1279;POT008;TRIMPOT 100K 3296W;BB-02
1280;POT009;TRIMPOT 100K 3386F;BB-02
1281;POT011;TRIMPOT 10K 3386F;BB-02
1282;POT012;TRIMPOT 10K 3296W;BB-02
1283;POT013;TRIMPOT 1M REF. 3296W;BB-02
1284;POT014;TRIMPOT 1M REF. 3386F;OBSOL - A5
1285;POT015;TRIMPOT 1M REF. 3006P;OBSOL - A5
1286;POT016;TRIMPOT 20R REF. 3386F;OBSOL - A2
1287;POT017;TRIMPOT 5K REF. 3386F 1 502;OBSOL - A5
1288;POT018;TRIMPOT 20K REF. 3386F;OBSOL - A5
1289;POT019;TRIMPOT 1K;BB-02
1290;QUÍMICOS;QUÍMICOS DIVERSOS;DF-03
1291;RES001;RESISTOR 2K2 1/2W;BB-03
1292;RES002;RESISTOR CR25 120K CARBONO;BB-03
1293;RES003;RESISTOR CR25 27K CARBONO;BB-03
1294;RES004;RESISTOR CR25 4K7 CARBONO;BB-03
1295;RES005;RESISTOR CR25 150K CARBONO;BB-03
1296;RES006;RESISTOR CR25 150R CARBONO;BC-03
1297;RES007;RESISTOR CR25 39K CARBONO;BB-03
1298;RES008;RESISTOR CR25 5K6 CARBONO;BB-03
1299;RES009;RESISTOR CR25 56K CARBONO;BB-03
1300;RES010;RESISTOR CR25 12K CARBONO;BB-03
1301;RES011;RESISTOR CR25 680K CARBONO;BB-03
1302;RES012;RESISTOR CR25 3K3 CARBONO;BB-03
1303;RES013;RESISTOR CR25 560R CARBONO;BC-03
1304;RES014;RESISTOR CR12 4M7;CB-02
1305;RES015;RESISTOR 15K 2W CARVAO;BB-03
1306;RES016;RESISTOR 330R 5W CARVAO;BC-03
1307;RES017;RESISTOR 100R 10W FIO;BC-03
1308;RES019;RESISTOR 100R 5W FIO;BC-03
1309;RES020;RESISTOR 10K 15W FIO;BC-03
1310;RES021;RESISTOR 10R 10W FIO;BC-03
1311;RES023;RESISTOR CR25 15K CARBONO;BB-03
1312;RES024;RESISTOR CR25 15M CARBONO;CB-02
1313;RES025;RESISTOR CR25 18K CARBONO;BB-03
1314;RES026;RESISTOR CR25 1K CARBONO;BB-03
1315;RES027;RESISTOR CR25 1K5 CARBONO;BB-03
1316;RES028;RESISTOR CR25 1M CARBONO;CB-02
1317;RES029;RESISTOR CR25 1M5 CARBONO;BD-03
1318;RES030;RESISTOR CR25 220K CARBONO;BB-03
1319;RES032;RESISTOR CR25 22K CARBONO;BB-03
1320;RES033;RESISTOR CR25 270R CARBONO;BC-03
1321;RES034;RESISTOR 2R2 1W;BC-03
1322;RES035;RESISTOR 33R 1W CARVAO;BC-03
1323;RES036;RESISTOR CR25 27R CARBONO;BD-03
1324;RES037;RESISTOR CR25 2K7 CARBONO;BB-03
1325;RES038;RESISTOR CR25 2M2 CARBONO;CB-02
1326;RES039;RESISTOR 47R 1W FIO;BC-03
1327;RES040;RESISTOR CR25 33K CARBONO;BB-03
1328;RES041;RESISTOR CR25 33R CARBONO;BD-03
1329;RES042;RESISTOR CR25 390R CARBONO;BC-03
